"About This Order:","Informationen zu dieser Bestellung:"
"Abrasive grain","Schleifmittel Körnung"
"Abrasive hole","Schleifmittel Lochanzahl"
"Abrasive diameter","Schleifmittel Durchmesser"
"Accessoires","Zubehör"
"Account information","Kontoinformationen"
"Action","Aktion"
"Actions","Aktionen"
"Add","Hinzufügen"
"Add All to Cart","Alle Artikel zum Warenkorb hinzufügen"
"Add All To Gift Registry ","Alle zur Geschenkliste hinzufügen"
"Added On","Added On"
"Add gift options","Geschenkoption hinzufügen"
"Add gift options for Individual Items","Geschenkoption für einzelne Artikel hinzufügen"
"Add gift options for the Entire Order","Geschenkoption für die ganze Order hinzufügen"
"Add Item To Return","Artikel zur Rücksendung hinzufügen"
"Add New","Neu hinzufügen"
"Add Printed Card","Add Printed Card"
"Add Recipient","Empfänger hinzufügen"
"Address","Adresse"
"Address Information","Adressinformationen"
"Add Row","Zeile hinzufügen"
"Add Tags","Tags hinzufügen"
"Add to:","Hinzufügen:"
"Add To:","Hinzufügen:"
"Add to cart","In den Einkaufswagen"
"Add to Compare","Produkt vergleichen"
"Add to cart","In den Einkaufswagen"
"Add to Gift Registry","Add to Gift Registry"
"Add to wishlist","Zu meinen Favoriten"
"Add Your Tags:","Add Your Tags:"
"All rights reserved","Alle Rechte vorbehalten"
"Amount","Menge"
"Amount in carton","Kartoninhalt"
"Answers","Antworten"
"Apply","Anwenden"
"Are you sure you want to delete this gift registry?","Are you sure you want to delete this gift registry?"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass das Produkt von der Favoritenliste gelöscht werden soll?"
"Are you sure you want to remove this product from the shopping cart?","Möchten Sie den Artikel aus dem Einkaufswagen löschen?"
"Article reference","Artikelnummer"
"Article reference:","Artikelnummer:"
"Availability:","Verfügbarkeit:"
"available","verfügbar"
"Article number","Materialnummer"
"Application","Applikation"
"Approvals","Zulassungen"
"Added to cart","Zum Einkaufswagen hinzugefügt"
