"About This Order:","About This Order:"
"Accessoires","Accessoires"
"Account information","Account information"
"Action","Action"
"Actions","Actions"
"Add","Add"
"Add All to Cart","Add All to Cart"
"Add All To Gift Registry ","Add All To Gift Registry "
"Added On","Added On"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add Item To Return","Add Item To Return"
"Add New","Add New"
"Add Printed Card","Add Printed Card"
"Add Recipient","Add Recipient"
"Address","Address"
"Address Information","Address Information"
"Add Row","Add Row"
"Add Tags","Add Tags"
"Add to:","Add to:"
"Add To:","Add To:"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Gift Registry","Add to Gift Registry"
"Add Your Tags:","Add Your Tags:"
"Amount","Amount"
"Answers","Answers"
"Apply","Apply"
"Are you sure you want to delete this gift registry?","Are you sure you want to delete this gift registry?"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Article reference","Article reference"
"Article reference:","Article reference:"
"Availability:","Availability:"
"available","available"
"Back","Back"
"Back to Invitations","Back to Invitations"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Balance limitations:","Balance limitations:"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing address","Billing address"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Canceled","Canceled"
"Carrier","Carrier"
"Cart Subtotal:","Cart Subtotal:"
"Categories","Categories"
"Change","Change"
"Change Password","Change Password"
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart."
"Check","Check"
"Check Gift Card status and balance","Check Gift Card status and balance"
"Check items to add to the cart or","Check items to add to the cart or"
"Checkout","Checkout"
"Check status and balance","Check status and balance"
"Choose an Amount...","Choose an Amount..."
"Choose a selection...","Choose a selection..."
"City","City"
"Clear cart","Clear cart"
"Close","Close"
"Close Window","Close Window"
"Comment","Comment"
"Comments","Comments"
"Comment Text","Comment Text"
"Company","Company"
"Compare","Compare"
"Condition","Condition"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Contact Email Address","Contact Email Address"
"Contact information","Contact information"
"Continue","Continue"
"Continue shopping","Continue shopping"
"Copy to:","Copy to:"
"Copy To:","Copy To:"
"Copy to Wishlist","Copy to Wishlist"
"Copy To Wishlist","Copy To Wishlist"
"Country","Country"
"Create an Account","Create an Account"
"Created On","Created On"
"Create Gift Registry","Create Gift Registry"
"Create New Wishlist","Create New Wishlist"
"Current exchange rates:","Current exchange rates:"
"Currently no new products","Currently no new products"
"Current Password","Current Password"
"Customer Name","Customer Name"
"Customer Service","Customer Service"
"Customize and Add to Gift Registry","Customize and Add to Gift Registry"
,,,,
,,,,
"Date","Date"
"Date Requested","Date Requested"
"Default billing address","Default billing address"
"Default shipping address","Default shipping address"
"Delete","Delete"
"Delete Wishlist","Delete Wishlist"
"Design","Design"
"Did you mean:","Did you mean:"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Edit"
"Edit Account information","Edit Account information"
"Email","Email"
"Email:","Email:"
"Email Address","Email Address"
"Email Address:","Email Address:"
"Email Notification Settings","Email Notification Settings"
"Enter at least two letters","Enter at least two letters"
"Enter at least two letters of the name","Enter at least two letters of the name"
"Entered amount is too high","Entered amount is too high"
"Entered amount is too low","Entered amount is too low"
"Enter gift card code","Enter gift card code"
"Enter Gift Card code","Enter Gift Card code"
"Event","Event"
"Event Date","Event Date"
"Excl. Tax","Excl. Tax"
"Fax","Fax"
"File","File"
"File extensions allowed: .csv","File extensions allowed: .csv"
"First Name","First Name"
"First Name:","First Name:"
"Forgot Your Password?","Forgot Your Password?"
"From","From"
"Fulfilled","Fulfilled"
"Fulfilled Quantity","Fulfilled Quantity"
"General Information","General Information"
"Gift Card","Gift Card"
"Gift Cards","Gift Cards"
"Gift Card status","Gift Card status"
"Gift Message","Gift Message"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Gift Options for this address.","Gift Options for this address."
"Gift Registry","Gift Registry"
"Gift Registry has no items.","Gift Registry has no items."
"Gift Registry ID","Gift Registry ID"
"Gift Registry Info","Gift Registry Info"
"Gift Registry Items","Gift Registry Items"
"Gift Registry Items Updated","Gift Registry Items Updated"
"Gift Registry Search","Gift Registry Search"
"Gift Registry Type","Gift Registry Type"
"Gift Wrapping","Gift Wrapping"
"Gift Wrapping Design","Gift Wrapping Design"
"Gloss / 60°","Gloss / 60°"
"Material code","Material code"
"Material code:","Material code:"
"Go","Go"
"Go to cart","Go to cart"
"Go To Sale","Go To Sale"
"Go to Shopping Cart","Go to Shopping Cart"
"Height","Height"
"Hide Details","Hide Details"
"How much kg","How much kg"
"How much %s","Quantity"
"ID","ID"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Incl. Tax","Incl. Tax"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Item","Item"
"Items in the Package","Items in the Package"
"Items Ordered","Items Ordered"
"Items Return Requested For","Items Return Requested For"
"Last Name","Last Name"
"Last Name:","Last Name:"
"Launch letter","Newsletter"
"Leadtime","Leadtime"
"Leave Comment","Leave Comment"
"Length","Length"
"Loading next step...","Loading next step..."
"Location","Location"
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"Manage Items","Manage Items"
"Market segment","Usage area"
"Maximum balance is reached.","Maximum balance is reached."
"Message","Message"
"Message:","Message:"
"Minimum balance for redeeming points is not reached.","Minimum balance for redeeming points is not reached."
"Move to:","Move to:"
"Move To:","Move To:"
"My Credit Card profiles","My Credit Card profiles"
"My dashboard","My dashboard"
"My Invitations","My invitations"
"My Orders","My orders"
"My Returns","My returns"
"Name","Name"
"Name:","Name:"
"New Customers","New Customers"
"New Password","New Password"
"Next","Next"
"None","None"
"None.","None."
"Note","Note"
"Number","Number"
"OR","OR"
"Order #","Order #"
"Order by SKU","Order by SKU"
"Order date","Order date"
"Ordered","Ordered"
"Order ID","Order ID"
"Order shipping address","Order shipping address"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"Other Amount...","Other Amount..."
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Out of stock","Out of stock"
"Owner","Owner"
"Owner Email","Owner Email"
"Package","Package"
"Packages","Packages"
"package(s) of","package(s) of"
"unit(s) of","unit(s) of"
"Page:","Page:"
"Password","Password"
"Pay Now","Pay Now"
"per page","per page"
"Personal information","Personal information"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Please enter at least 2 letters.","Please enter at least 2 letters."
"Please enter the following information to create your account.","Please enter the following information to create your account."
"Please select gift registry type","Please select gift registry type"
"Please select one of the options.","Please select one of the options."
"Please select region, state or province","Please select region, state or province"
"Please wait, loading...","Please wait, loading..."
"Points","Points"
"PO-Number","Reference number"
"Preview Sale","Preview Sale"
"Previous","Previous"
"Price","Price"
"Price Excl. Tax","Price Excl. Tax"
"Price Incl. Tax","Price Incl. Tax"
"Prices and availability of products will be checked during the checkout.","Prices and availability of products will be checked during the checkout."
"Print","Print"
"Privacy Settings","Privacy Settings"
"Proceed to checkout","Proceed to checkout"
"Product","Product"
"Productcode:","Productcode:"
"Product groups","Product groups"
"Products Requiring Attention","Products Requiring Attention"
"Product Tags","Product Tags"
"Product Variant","Product Variant"
"Qty","Qty"
"Qty:","Qty:"
"Qty Fulfilled","Qty Fulfilled"
"Quantity","Quantity"
"Quantity To Return","Quantity To Return"
"Questions","Questions"
"Reason","Reason"
"Recently added item(s)","Recently added item(s)"
"Recipient:","Recipient:"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Recipients Information","Recipients Information"
"Redeem Gift Card","Redeem Gift Card"
"Refer to reward points history to see if a specific record expires and when.","Refer to reward points history to see if a specific record expires and when."
"Refunded","Refunded"
"Refunded to Store Credit","Refunded to Store Credit"
"Register","Register"
"Registered Customers","Registered Customers"
"Related search terms:","Related search terms:"
"Reload Form","Reload Form"
"Remaining","Remaining"
"Remaining Qty:","Remaining Qty:"
"Remaining Quantity","Remaining Quantity"
"Remove","Remove"
"Remove All","Remove All"
"Remove Email","Remove Email"
"Remove item","Remove item"
"Remove Item","Remove Item"
"Remove Row","Remove Row"
"Reorder","Reorder"
"Reorder all products","Reorder all products"
"Requested","Requested"
"Requested Quantity","Requested Quantity"
"Request Information","Request Information"
"Request Qty","Request Qty"
"* Required Fields","* Required Fields"
"Reset","Reset"
"Resolution","Resolution"
"Return","Return"
"Return #","Return #"
"Return Items Information","Return Items Information"
"Return Status","Return Status"
"Reward Points","Reward Points"
"Reward points balance Information","Reward points balance Information"
"RMA","RMA"
"RSS Feed","RSS Feed"
"Save","Save"
"Save Address","Save Address"
"Save in address book","Save in address book"
"Save Subscription Settings","Save Subscription Settings"
"Search","Search"
"Search By","Search By"
"Search entire store here...","Search entire store here..."
"Search results","Search results"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"select all","select all"
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Select State/Province...","Select State/Province..."
"Sender:","Sender:"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Send Gift Receipt","Send Gift Receipt"
"Send Invitations","Send Invitations"
"Service information bulletin","Service information bulletin"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Share","Share"
"Share Gift Registry","Share Gift Registry"
"Share Wishlist","Share Wishlist"
"Ship From","Ship From"
"Shipped","Shipped"
"Shipping address","Shipping address"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Ship to","Ship to"
"Ship to different address","Ship to different address"
"Ship to recipient\'s address","Ship to recipient\'s address"
"Ship to this address","Ship to this address"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Show","Show"
"Show Details","Show Details"
"Sign Up for Newsletter","Sign Up for Newsletter"
"SKU","SKU"
"State/Province","State/Province"
"Status","Status"
"Stock-Service was last updated on %s at %s","The stock information has been updated %s at %s and could have been changed ever since. The latest stock information will be shown during the checkout process."
"Store Credit","Store Credit"
"Street Address","Street Address"
"Sub-items:","Sub-items:"
"Submit","Submit"
"Submit Comment","Submit Comment"
"Subscribe for balance updates","Subscribe for balance updates"
"Subscribe for points expiration notifications","Subscribe for points expiration notifications"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Telephone","Telephone"
"* The color shown may differ from the image.","* The color shown may differ from the image."
"There are no created gift registries yet.","There are no created gift registries yet."
"There are no products matching the selection.","There are no products matching the selection."
"There are no sent invitations yet","There are no sent invitations yet"
"There is no balance history yet.","There is no balance history yet."
"This wishlist is private. Only you can view this wishlist.","This wishlist is private. Only you can view this wishlist."
"This wishlist is publicly visible.","This wishlist is publicly visible."
"To","To"
"Toggle Navigation","Toggle Navigation"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched."
"Total","Total"
"Total Fulfilled Quantity","Total Fulfilled Quantity"
"Total incl. tax","Total incl. tax"
"Total Weight","Total Weight"
"Track this shipment","Track this shipment"
"Type","Type"
"Type Specific Options","Type Specific Options"
"Unit contains","Unit contains"
"Unit price","Unit price"
"unselect all","unselect all"
"Updated at","Updated at"
"Update Gift Registry","Update Gift Registry"
"Update Orderlist","Update Orderlist"
"Update Wishlist","Update Wishlist"
"Up To","Up To"
"Use as My Default billing address","Use as My Default billing address"
"Use as My Default shipping address","Use as My Default shipping address"
"Use Billing Address","Use Billing Address"
"Use gift registry shipping address","Use gift registry shipping address"
"Use my reward points, %s available', Mage::helper('enterprise_reward","Use my reward points, %s available', Mage::helper('enterprise_reward"
"Use spaces to separate tags. Use single quotes (","Use spaces to separate tags. Use single quotes ("
"Use Store Credit","Use Store Credit"
"Use Store Credit (%s available)","Use Store Credit (%s available)"
"VAT Number","VAT Number"
"View","View"
"View all","View all"
"View Order","View Order"
"View Return","View Return"
"View Sale","View Sale"
"VOC compliant","VOC compliant"
"VOC compliant:","VOC compliant:"
"Weight","Weight"
"Width","Width"
"Wishlist:","Wishlist:"
"Wishlist Info","Wishlist Info"
"Wishlist Items","Wishlist Items"
"Wishlist Name","Wishlist Name"
"Wishlist Search","Wishlist Search"
"Wrong or expired Gift Card Code.","Wrong or expired Gift Card Code."
"You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?","You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?"
"You are about to order ###.","You are about to order ###."
"You can leave a box blank if you don\'t wish to add a gift message for the item.","You can leave a box blank if you don\'t wish to add a gift message for the item."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","You can leave a box blank if you don\'t wish to add a gift message for whole order."
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You cannot send more invitations","You cannot send more invitations"
"You have no items in your compare list.","You have no items in your compare list."
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You have no items in your favourites list.","You have no items in your favourites list."
"You have placed no orders.","You have placed no orders."
"You have placed no returns.","You have placed no returns."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"You must select items to add to cart","You must select items to add to cart"
"Your current balance is:","Your current balance is:"
"Your current balance is %s.', Mage::helper('enterprise_reward","Your current balance is %s.', Mage::helper('enterprise_reward"
"Your search returned no results.","Your search returned no results."
"Your search returns no results.","Your search returns no results."
"You still have not placed orders.","You still have not placed orders."
"Zip/Postal Code","Zip/Postal Code"
"product variant","product variant"
"units","units"
"NEW","NEW"
"Paint system","Related paint system"
"My Account","My account"
"Your Language","Your language"
"Your Language:","Your language:"
"Log In","Log in"
"Log Out","Log out"
"Clear All","Clear all"
"Remove This Item","Remove this item"
"New Customer","New customer"
"New Customers","New customers"
"Existing Customer","Existing customer"
"First Name","First name"
"Last Name","Last name"
"Iban/Swift","IBAN/SWIFT"
"Company Information","Company information"
"Personal Information","Personal information"
"Zip Code","Zip code"
"Catalog Advanced Search","Catalog advanced search"
"Search Settings","Search settings"
"Product Description","Product description"
"Shopping Cart is Empty","Shopping cart is empty"
"View Order","View order"
"GMC","Material code"
"%s Items","%s items"
"%s Item","%s item"
"%s items","%s items"
"%s item","%s item"
"Technical data sheet (TDS)","Technical data sheet"
"Startup Page","Home"
"Back to My Orders","Back"
